1 ,3548899
2 ,1669815
3 ,1670966
4 ,1305344
5 ,817334
6 ,740034
7 ,714579
8 ,487419
9 ,475703
10 ,485082
11 ,527515
12 ,638175
13 ,532507
14 ,567335
15 ,602755
16 ,568796
17 ,641685
18 ,669209
19 ,872372
20 ,697602
21 ,641980
22 ,827885
23 ,1131146
24 ,771087
25 ,856557
26 ,710212
27 ,741229
28 ,745325
29 ,795382
30 ,805034
31 ,817338
32 ,814699
33 ,1212228
34 ,966348
35 ,985959
36 ,1049764
37 ,1090757
38 ,1022837
39 ,1072025
40 ,1067918
41 ,1058852
42 ,1075250
43 ,1117407
44 ,1149312
45 ,1098075
46 ,1197318
47 ,1234189
48 ,1229528
49 ,1567627
50 ,1419811
51 ,1282496
52 ,1295081
53 ,1259086
54 ,1326994
55 ,1314124
56 ,1328165
57 ,1355691
58 ,1421554
59 ,1351572
60 ,1365640
61 ,1593675
62 ,1851885
63 ,1488006
64 ,1597491
65 ,1548896
66 ,1563241
67 ,1497378
68 ,1713411
69 ,1614764
70 ,1618558
71 ,1574367
72 ,1629980
73 ,1633504
74 ,1700826
75 ,1632904
76 ,1898733
77 ,1646671
78 ,1730092
79 ,1817328
80 ,1721898
81 ,1692619
82 ,1722489
83 ,1857451
84 ,2109786
85 ,1836654
86 ,1759067
87 ,1859487
88 ,1953155
89 ,1874131
90 ,1857739
91 ,1843398
92 ,2140526
93 ,1993572
94 ,1958436
95 ,2197312
96 ,2013179
97 ,2069375
98 ,2099536
99 ,2312066
100 ,2163355
101 ,2064122
102 ,2126755
103 ,2102761
104 ,2132309
105 ,2090754
106 ,2298608
107 ,2221325
108 ,2173304
109 ,2499126
110 ,2525474
111 ,2243557
112 ,2209911
113 ,2699663
114 ,2866814
115 ,2438535
116 ,2383499
117 ,2503529
118 ,2361832
119 ,2554163
120 ,2487697
121 ,2351297
122 ,2507338
123 ,3077002
124 ,3064713
125 ,2389646
126 ,2533093
127 ,2538952
128 ,2546837
129 ,2978352
130 ,2556506
131 ,2645494
132 ,2821740
133 ,3029005
134 ,2577871
135 ,2939723
136 ,2700548
137 ,2634382
138 ,2706684
139 ,2706707
140 ,2772842
141 ,3363603
142 ,3364189
143 ,3141406
144 ,2888484
145 ,2830800
146 ,3107151
147 ,2946146
148 ,2889067
149 ,2891992
150 ,3137598
151 ,3238596
152 ,2903127
153 ,3026946
154 ,2992099
155 ,3561779
156 ,3310317
157 ,3073491
158 ,3160435
159 ,3759673
160 ,3079633
161 ,3287194
162 ,3195555
163 ,3166874
164 ,3269914
165 ,3302420
166 ,3570570
167 ,3182681
168 ,3252354
169 ,3532806
170 ,3385532
171 ,3370921
172 ,3305064
173 ,3543349
174 ,3470157
175 ,3345733
176 ,3434432
177 ,3619463
178 ,3443513
179 ,3759385
180 ,3781041
181 ,4121208
182 ,4129711
183 ,3440887
184 ,3560028
185 ,3534252
186 ,4034850
187 ,4775495
188 ,3832564
189 ,3920098
190 ,3841359
191 ,3909284
192 ,3834317
193 ,4110974
194 ,3633519
195 ,4062667
196 ,3694980
197 ,4115947
198 ,3971039
199 ,3938253
200 ,3874423
201 ,4304464
202 ,4802128
203 ,4081389
204 ,4353057
205 ,4351016
206 ,3936482
207 ,3941751
208 ,4002641
209 ,4629416
210 ,4291289
211 ,4062970
212 ,4327588
213 ,4069687
214 ,4208750
215 ,4441166
216 ,4094571
217 ,4380287
218 ,4546868
219 ,4782216
220 ,4619456
221 ,4220454
222 ,4885284
223 ,4375016
224 ,4416875
225 ,4384678
226 ,4429464
227 ,4377959
228 ,4740365
229 ,4935917
230 ,6946748
231 ,4532219
232 ,4719861
233 ,4899904
234 ,4525790
235 ,5151071
236 ,5003230
237 ,4728940
238 ,4916300
239 ,5144918
240 ,4774312
241 ,5193232
242 ,4847215
243 ,4791013
244 ,5236559
245 ,4939718
246 ,5003831
247 ,5054478
248 ,4807112
249 ,5345447
250 ,5113893
251 ,6266426
252 ,7555640
253 ,5238898
254 ,5481881
255 ,5481579
256 ,5033696
257 ,5174774
258 ,6055940
259 ,5261430
260 ,5280487
261 ,5136435
262 ,5427999
263 ,5751495
264 ,5398434
265 ,5428008
266 ,6116829
267 ,6209035
268 ,5420088
269 ,5694114
270 ,5602191
271 ,6005588
272 ,5811799
273 ,5770516
274 ,6423910
275 ,6242405
276 ,6618281
277 ,5976317
278 ,5813849
279 ,6676547
280 ,6259396
281 ,6234514
282 ,6145225
283 ,7393190
284 ,7431812
285 ,6499444
286 ,6576434
287 ,7639959
288 ,6398743
289 ,6216659
290 ,6810631
291 ,6819115
292 ,6631177
293 ,6741235
294 ,6676832
295 ,6474847
296 ,6558275
297 ,6599859
298 ,7305939
299 ,7065017
300 ,6680937
301 ,6933001
302 ,7050672
303 ,7435629
304 ,7020812
305 ,6951729
306 ,7530766
307 ,6828489
308 ,7047455
309 ,7077606
310 ,7791590
311 ,7226030
312 ,7487437
313 ,7373562
314 ,6980420
315 ,9606593
316 ,8414856
317 ,7885563
318 ,8391135
319 ,8685622
320 ,7720163
321 ,7908989
322 ,7780763
323 ,8774344
324 ,8493301
325 ,8800962
326 ,8198215
327 ,8557119
328 ,8007635
329 ,8274625
330 ,8430078
331 ,7670988
332 ,8197342
333 ,8352193
334 ,8509717
335 ,10530771
336 ,8679178
337 ,9292789
338 ,8966970
339 ,8761761
340 ,8561814
341 ,9071465
342 ,9564155
343 ,9795713
344 ,9392326
345 ,8942076
346 ,8942074
347 ,9331428
348 ,10016122
349 ,9371519
350 ,9337560
351 ,9828501
352 ,10011730
353 ,9686238
354 ,10070300
355 ,8938553
356 ,10305077
357 ,9596943
358 ,9761751
359 ,9603665
360 ,10586403
361 ,9393477
362 ,10031636
363 ,9883819
364 ,10321177
365 ,10267595
366 ,10006472
367 ,9682403
368 ,9961104
369 ,10339909
370 ,10034294
371 ,10115093
372 ,10673929
373 ,10350168
374 ,10806254
375 ,11560341
376 ,10356307
377 ,10313260
378 ,11257071
379 ,13068268
380 ,10425394
381 ,10809479
382 ,10766732
383 ,10824691
384 ,10593425
385 ,11464921
386 ,13348695
387 ,10783134
388 ,10887336
389 ,10730729
390 ,10583196
391 ,10962563
392 ,10953795
393 ,10767904
394 ,11110705
395 ,11039863
396 ,10945016
397 ,11020236
398 ,10795127
399 ,11348692
400 ,11051271
401 ,10999459
402 ,11665737
403 ,11215495
404 ,11326453
405 ,11404918
406 ,11617430
407 ,11263804
408 ,11381199
409 ,11353094
410 ,12815620
411 ,11358950
412 ,11899921
413 ,11793675
414 ,11957300
415 ,11594024
416 ,11993318
417 ,11500923
418 ,12010590
419 ,12213745
420 ,11948230
421 ,11991851
422 ,11827033
423 ,13351051
424 ,11508248
425 ,11979861
426 ,12364816
427 ,12450597
428 ,12039559
429 ,11933592
430 ,12372714
431 ,12124176
432 ,12062406
433 ,12421303
434 ,12162525
435 ,12209065
